chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type	ID	Length	DivBy3Rem	StopCodons	StopCodonPos	CodonUsage	TGT-C	CGT-R	AAT-N	TGC-C	GGG-G	CGC-R	AAC-N	ACA-T	GGT-G	AAG-K	ATA-I	CGG-R	TGG-W	GGC-G	GGA-G	ATC-I	ACT-T	ATT-I	ACC-T	ATG-M	AAA-K	CGA-R	TGA-stop	ACG-T	CTG-L	AGA-R	CAA-Q	GTC-V	TTG-L	TAA-stop	GCT-A	CCG-P	GTT-V	GCC-A	TCG-S	TCT-S	GAA-E	GTG-V	TTC-F	CTC-L	CCT-P	GCG-A	TCC-S	TTT-F	CTT-L	CCC-P	CCA-P	TCA-S	GAT-D	AGG-R	CAG-Q	CTA-L	GAC-D	TTA-L	TAG-stop	TAT-Y	GCA-A	CAT-H	AGT-S	GTA-V	GAG-E	TAC-Y	AGC-S	CAC-H	
5	NC_000005.10	SLC6A7	6534	CCDS4305.1	Public	+	150190327	150209614	[150190327-150190359, 150194727-150194910, 150196715-150196846, 150197041-150197275, 150199227-150199365, 150201088-150201222, 150202346-150202449, 150202578-150202702, 150203666-150203778, 150203906-150204037, 150204531-150204630, 150204826-150204926, 150205455-150205622, 150209405-150209614]	Identical	CCDS4305.1_CHR5	1911	0	0	1908-	640	4	1	2	10	14	7	12	5	2	16		6	17	36	5	29	4	5	15	26	3	3	1	8	48	2	3	15	4		12	3	1	27	4	3	3	28	32	35	6	2	12	8	5	14	9	4	6	2	15	3	13			9	4		2	2	22	22	16	10	
11	NC_000011.10	SYTL2	54843	CCDS53688.1	Public	-	85695194	85757724	[85695194-85695339, 85696182-85696387, 85697978-85698077, 85700514-85700592, 85704857-85705027, 85707428-85707530, 85709330-85709499, 85711112-85711231, 85714412-85714506, 85718789-85718842, 85720857-85720958, 85727895-85727966, 85733938-85734741, 85736500-85736611, 85737574-85737655, 85745636-85745771, 85748271-85748422, 85757624-85757724]	Identical	CCDS53688.1_CHR11	2805	0	0	2802-	938	4	5	27	1	11	3	16	20	10	40	2	5	11	12	9	16	17	15	10	20	47		1	1	16	22	16	6	17		14	4	14	10	1	25	56	21	6	8	22	2	17	18	15	7	29	29	30	15	25	9	22	15		12	21	15	27	12	27	5	15	7	
1	NC_000001.11	CTH	1491	CCDS53333.1	Public	+	70411415	70439126	[70411415-70411582, 70415955-70416036, 70421565-70421674, 70424284-70424415, 70429793-70429850, 70430316-70430393, 70432082-70432234, 70433827-70433948, 70435124-70435176, 70438687-70438825, 70439100-70439126]	Identical	CCDS53333.1_CHR1	1122	0	0	1119-	377	7	3	8	2	4	1	6	7	4	15			3	7	10	5	6	14	6	9	6	3		2	11	2	7	5	6		7	1	8	4	1	11	14	9	11	2	6	2	4	6	11	6	7	4	11	4	10	6	6	3	1	5	14	12	4	3	8	4	5	5	
4	NC_000004.12	GABRA2	2555	CCDS82921.1	Public	-	46250307	46388705	[46250307-46250603, 46256194-46256373, 46261925-46262127, 46303459-46303611, 46305567-46305710, 46310172-46310254, 46312495-46312715, 46332614-46332681, 46386073-46386188, 46388635-46388705]	Identical	CCDS82921.1_CHR4	1536	0	0	1533-	515	3	1	15	2	5		14	15	4	15	5	2	12	5	6	10	16	15	10	17	23	3	1	2	11	10	10	6	6		20	1	14	5		7	15	10	13	3	10		8	16	10	3	10	11	16	3	4	5	8	11		15	10	3	9	7	6	8	4	3	
1	NC_000001.11	DAP3	7818	CCDS55647.1	Public	+	155709779	155738241	[155709779-155709823, 155721516-155721617, 155725381-155725489, 155725926-155726018, 155727607-155727737, 155729041-155729121, 155729207-155729365, 155731355-155731414, 155731943-155732032, 155736945-155737062, 155738156-155738241]	Identical	CCDS55647.1_CHR1	1074	0	0	1071-	361	4		7	2	4	3	11	7	2	11	5	4	7	3	11	5	5	7	4	7	19	1			20	3	4	1	6	1	8	1	6	9	2	3	13	9	5	3	5	1	3	9	10	8	4	1	11	6	12	6	1	2		8	3	10	7	2	13	4	4	5	
2	NC_000002.12	PRPF40A	55660	CCDS92877.1	Public	-	152656305	152717393	[152656305-152656397, 152657888-152658019, 152658947-152659008, 152659092-152659188, 152659269-152659355, 152662602-152662697, 152663034-152663171, 152663654-152663770, 152663875-152663966, 152664137-152664251, 152669136-152669269, 152670230-152670380, 152671272-152671380, 152672458-152672622, 152672977-152673041, 152673597-152673705, 152676404-152676778, 152677450-152677474, 152679055-152679108, 152679351-152679471, 152681225-152681335, 152690961-152690977, 152693037-152693067, 152694541-152694621, 152715994-152716125, 152717355-152717393]	Identical	CCDS92877.1_CHR2	2748	0	0	2745-	919	1	10	25	3	5	3	6	18	5	39	9	4	12	3	21	5	29	13	10	42	62	9		1	6	19	19	4	10	1	31	5	13	11	4	32	75	3	5	2	20	3	7	19	15	3	14	24	38	6	19	3	7	13		10	33	22	19	13	33	11	5	4	
15	NC_000015.10	ALPK3	57538	CCDS10333.2	Public	+	84817452	84868455	[84817452-84817594, 84823329-84823367, 84827483-84827604, 84838979-84839096, 84839701-84840931, 84856391-84858554, 84859242-84859389, 84859775-84859902, 84860036-84860071, 84862634-84862914, 84863551-84863639, 84864441-84864664, 84867316-84867364, 84868110-84868455]	Identical	CCDS10333.2_CHR15	5118	0	0	5115-	1709	15	4	7	21	68	15	18	37	25	69	4	33	14	59	35	27	23	11	47	25	19	9		11	73	19	14	17	15		34	13	6	69	7	29	35	48	19	24	49	16	35	11	10	50	39	16	23	28	90	4	38	3	1	7	32	5	24	9	111	17	54	16	
1	NC_000001.11	USP24	23358	CCDS44154.2	Public	-	55069044	55215112	[55069044-55069106, 55071813-55071923, 55072316-55072402, 55072785-55072860, 55073827-55073905, 55075456-55075522, 55077234-55077299, 55078537-55078650, 55079537-55079658, 55081321-55081423, 55083271-55083363, 55083771-55083887, 55085941-55086037, 55089626-55089739, 55092022-55092125, 55092820-55092915, 55093936-55094086, 55095254-55095395, 55096497-55096621, 55096951-55097171, 55097597-55097716, 55097942-55098083, 55098475-55098557, 55099770-55099868, 55100838-55100963, 55101583-55101702, 55103875-55104019, 55106145-55106262, 55107238-55107429, 55110184-55110245, 55120595-55120755, 55121435-55121505, 55123446-55123601, 55124468-55124627, 55125319-55125547, 55125662-55125757, 55129476-55129573, 55132544-55132699, 55134069-55134162, 55134327-55134412, 55137514-55137687, 55137805-55137903, 55138607-55138717, 55138943-55139009, 55141615-55141730, 55142741-55142794, 55142978-55143118, 55144126-55144202, 55145997-55146108, 55146928-55147059, 55147648-55147797, 55148462-55148569, 55153869-55153916, 55154118-55154279, 55154370-55154465, 55154670-55154777, 55156947-55157050, 55157255-55157369, 55158877-55159035, 55159610-55159684, 55162198-55162263, 55165884-55165949, 55166567-55166602, 55171555-55171677, 55172376-55172519, 55176375-55176442, 55177966-55178131, 55214789-55215112]	Identical	CCDS44154.2_CHR1	7863	0	0	7860-	2624	37	7	71	16	27	15	30	43	24	77	35	20	31	39	55	30	43	72	33	64	70	27		9	63	40	46	21	56		66	6	43	36	8	57	113	52	42	44	39	12	29	65	67	25	40	61	87	21	80	35	48	49	1	39	44	37	60	39	75	38	41	21	
14	NC_000014.9	CPNE6	9362	CCDS9607.1	Public	+	24072936	24077729	[24072936-24073103, 24073498-24073677, 24074050-24074124, 24074290-24074364, 24074530-24074613, 24074705-24074794, 24075171-24075275, 24075504-24075590, 24075826-24075885, 24076148-24076281, 24076359-24076413, 24076505-24076556, 24076878-24077011, 24077153-24077389, 24077592-24077729]	Identical	CCDS9607.1_CHR14	1674	0	0	1671-	561	5	5	7	11	11	6	12	4	2	24		9	5	16	3	20	8	3	14	10	1	7	1	9	27	2	4	6	3		11	5	1	19	2	6	5	33	21	11	10	1	14	6	2	22	4	4	10	2	22	1	27	1		7	4	4	4	4	28	10	16	6	
1	NC_000001.11	AGTRAP	57085	CCDS136.1	Public	+	11736208	11750191	[11736208-11736234, 11745802-11745836, 11747439-11747544, 11748414-11748609, 11750076-11750191]	Identical	CCDS136.1_CHR1	480	0	0	477-	163		1		3	3	2	2	1	4	2	1	3	4	8		7	1	3	3	4		1	1	3	10		1	4	3		3	2		8		2		6	6	6	1	1	3	3	1	2	1	2	2	1	3	1	6			1	3		2	1	5	5	4	4	
11	NC_000011.10	OR4C3	256144	CCDS31489.2	Public	+	48325021	48325929	[48325021-48325929]	Identical	CCDS31489.2_CHR11	909	0	0	906-	306	7		9	5	6	1	5	4	4	2	3		3	2	3	10	4	9	8	12	4			3	16	5	1	6	11	1	8		8	11		5	3	11	7	13	5		7	14	3	5	3	4	1	2	4	1	6	3		11	2	4	2	3	5	3	1	4	
3	NC_000003.12	SEMA5B	54437	CCDS58848.1	Public	-	122910142	122976122	[122910142-122910300, 122910839-122911044, 122911490-122911534, 122911919-122912068, 122912171-122912341, 122912842-122913060, 122913198-122913423, 122913533-122913680, 122913857-122914000, 122915439-122915620, 122915772-122915889, 122921914-122922121, 122922239-122922446, 122923616-122923751, 122926391-122926676, 122927789-122928002, 122928516-122928614, 122928995-122929057, 122939424-122939469, 122943435-122943534, 122948505-122948708, 122961139-122961300, 122975999-122976122]	Identical	CCDS58848.1_CHR3	3618	0	0	3615-	1209	25	4	14	44	34	34	40	14	9	21	2	22	30	45	12	24	8	5	31	11	3	9	1	17	55	8	7	22	9		18	16	3	47	6	12	7	38	36	28	15	9	39	5	11	44	18	10	11	13	43	3	31			7	15	5	10	3	54	22	44	23	
12	NC_000012.12	MYBPC1	4604	CCDS58273.1	Public	+	101595070	101684404	[101595070-101595094, 101629433-101629543, 101631570-101631718, 101632020-101632137, 101634553-101634604, 101636671-101636727, 101642418-101642584, 101644663-101644795, 101646762-101646886, 101648044-101648149, 101649259-101649425, 101651230-101651392, 101652677-101652783, 101653114-101653247, 101659671-101659830, 101661157-101661261, 101662357-101662545, 101663425-101663559, 101667731-101667898, 101670320-101670408, 101673426-101673621, 101675291-101675430, 101677234-101677393, 101678101-101678237, 101680342-101680528, 101682603-101682661, 101684381-101684404]	Identical	CCDS58273.1_CHR12	3363	0	0	3360-	1124	9	5	25	9	8	9	18	21	20	52	15	4	18	11	32	37	29	33	19	21	50	4	1	3	27	19	13	18	10		21	1	20	23		13	47	36	14	9	30	1	6	25	13	16	22	8	46	12	22	5	26	4		23	25	4	13	8	46	15	15	12	
6	NC_000006.12	UNC5CL	222643	CCDS4847.1	Public	-	41028372	41035073	[41028372-41028594, 41030387-41030500, 41030654-41030754, 41031680-41031747, 41032035-41032136, 41032883-41033145, 41033880-41034180, 41034689-41035073]	Identical	CCDS4847.1_CHR6	1557	0	0	1554-	522	5	2	8	17	13	12	8	5	5	7		8	10	15	2	13	3	1	12	11	4	2	1	3	40	4	7	6	7		5	3	3	20	3	1	5	15	16	14	6	2	14	3	3	16	14	6	8	5	27	5	9	1		1	9	6	4	3	30	7	10	14	
4	NC_000004.12	KIT	3815	CCDS93529.1	Public	+	54658014	54738556	[54658014-54658080, 54695511-54695780, 54698283-54698564, 54699629-54699765, 54703720-54703891, 54707097-54707286, 54709423-54709538, 54723583-54723697, 54725856-54726049, 54727217-54727323, 54727415-54727541, 54727822-54727926, 54728010-54728120, 54729334-54729484, 54731327-54731418, 54731870-54731997, 54733069-54733191, 54736497-54736608, 54736720-54736819, 54737174-54737279, 54738428-54738556]	Identical	CCDS93529.1_CHR4	2934	0	0	2931-	981	12	2	35	12	10	6	19	16	8	34	11	5	14	20	17	19	18	22	15	24	32	2	1	10	21	18	5	14	12		15	5	18	18	1	27	38	33	22	13	15	3	13	21	16	15	15	12	29	7	21	12	24	9		26	19	12	14	13	20	16	12	10	
3	NC_000003.12	TFDP2	7029	CCDS54647.1	Public	-	141952512	141978629	[141952512-141952695, 141952910-141953015, 141959673-141959839, 141963811-141963962, 141970072-141970140, 141974047-141974190, 141978519-141978629]	Identical	CCDS54647.1_CHR3	933	0	0	930-	314	3		13	4	2		10	6	3	9	7	4	2	5	3	8	2	4	8	5	10	4			14	3	7	2	2	1	9	2	3	5	4	6	12	5	6	1	2	2	9	4	4	2	4	7	14	2	15	4	4	7		4	3	2	4	3	15	1	3	2	
7	NC_000007.14	SPDYE18	100505767	CCDS94131.1	Public	-	77052777	77060511	[77052777-77052836, 77052959-77053202, 77055235-77055320, 77056549-77056607, 77057636-77057866, 77059179-77059397, 77060352-77060511]	Identical	CCDS94131.1_CHR7	1059	0	0	1056-	356	4	5	2	3	5	6	6			18	3	7	12	4	3	5	1	3	4	8	6	4		3	12	2	5	3	5		5	4	1	10	4	4	3	11	14	12	9	3	6	1	5	10	4	3	8	12	12		10	1	1	4		2	2	3	34	4	6	6	
3	NC_000003.12	SHISA5	51246	CCDS63622.1	Public	-	48469106	48501275	[48469106-48469185, 48469360-48469572, 48469727-48469842, 48479176-48479256, 48501136-48501275]	Identical	CCDS63622.1_CHR3	630	0	0	627-	213	4	2		9	2	2	2	1	1	3			1	5	5	4	2		10	7	1	1	1	1	6		1	3	1		3	7	2	11	1	2	1	9	4	3	11	4	4	3	1	7	11	1	3	2	7		3			1	3	1	2	1	6	13	6	2	
19	NC_000019.10	STAP2	55620	CCDS45926.1	Public	-	4324132	4338752	[4324132-4324196, 4324454-4324528, 4325215-4325307, 4325395-4325544, 4326941-4327006, 4327123-4327225, 4327315-4327384, 4328674-4328808, 4329960-4330060, 4332021-4332077, 4333693-4333815, 4333972-4334043, 4338651-4338752]	Identical	CCDS45926.1_CHR19	1212	0	0	1209-	407	2	4	5	4	6	2	7	4	5	29		10	5	13	4	4		4	9	6	5		1	4	24		2	10	6		3	5	2	9	3	5	5	18	11	7	9	4	3	3	2	18	13	4	7	3	9	5	12	2		4	8	2	2	1	26	10	7	7	
1	NC_000001.11	CHTOP	26097	CCDS81380.1	Public	+	153636588	153645268	[153636588-153636652, 153638294-153638447, 153642245-153642428, 153645063-153645268]	Identical	CCDS81380.1_CHR1	609	0	0	606-	206		3	5		5	3	4	2	5	6	3	4		8	10	3	1	1	6	9	6	6	1	1	6	9	3	1	4		4	2	1	8	2	2	1	2		1	1	2		2	3	5	1	2	5	2	14	6	1	3		1	6		2	1	4	1	2	1	
5	NC_000005.10	IL5	3567	CCDS4156.1	Public	-	132541810	132543477	[132541810-132541908, 132542014-132542142, 132543093-132543125, 132543334-132543477]	Identical	CCDS4156.1_CHR5	405	0	0	402-	138	1		2	1	1		3	3	2	2	5	1	1	2	3	2	6	3	2	3	6	1	1		8	3	6		5		2		1	3		1	7	4	2		2		1	2	4	2				2	1	3	2	1		1	2	3	4	3	5	3		1	
17	NC_000017.11	KRT20	54474	CCDS11379.1	Public	-	40876360	40885184	[40876360-40876457, 40877379-40877416, 40878144-40878364, 40879812-40879937, 40880099-40880260, 40880613-40880769, 40882571-40882653, 40884795-40885184]	Identical	CCDS11379.1_CHR17	1275	0	0	1272-	428	1	3	10		4	8	12	8	2	15	4	4	1	12	4	6	9	8	7	10	12	2		3	19	9	12	11	4	1	12	1	5	8	1	3	26	11	3	8	1	1	8	3	8	1	1	1	11	3	21	10	8	3		6	2	5	5	3	22	7	12	4	
17	NC_000017.11	CCDC57	284001	CCDS11803.1	Public	-	82157732	82201943	[82157732-82157947, 82163199-82163356, 82171700-82171852, 82172637-82172859, 82178473-82178604, 82179026-82179188, 82183773-82183931, 82188218-82188418, 82193755-82193829, 82193981-82194138, 82195262-82195363, 82198313-82198421, 82201537-82201943]	Identical	CCDS11803.1_CHR17	2256	0	0	2253-	755	1	6	3	2	12	11	8	9	6	35	4	12	6	4	8	3	5	9	8	11	12	7		3	58	9	10	6	4		19	1	5	39	3	8	25	24	3	18	7	10	7	5	12	7	6	5	12	22	65	10	24	2	1	3	19	9	5	4	76	2	11	11	
3	NC_000003.12	NICN1	84276	CCDS2798.1	Public	-	49424832	49429238	[49424832-49424873, 49424948-49425052, 49425366-49425437, 49425882-49425995, 49426251-49426427, 49429107-49429238]	Identical	CCDS2798.1_CHR3	642	0	0	639-	217	3	3	1	3		3	1	4	1	5	1	5	4	6	2	6	1	1	6	6	1		1	1	11	1	2	4	4		3		1	4	2	1	1	11	4	6	5		9	4		6	6	2	3	2	11	2	6			3	4	2	2	3	11	5	4	4	
20	NC_000020.11	SRC	6714	CCDS13294.1	Public	+	37384153	37403378	[37384153-37384402, 37386074-37386173, 37393894-37393992, 37394173-37394276, 37396161-37396310, 37397698-37397853, 37400114-37400293, 37401601-37401677, 37402434-37402587, 37402748-37402879, 37403170-37403378]	Identical	CCDS13294.1_CHR20	1611	0	0	1608-	540	1	1	2	8	9	8	16	6	5	25		16	9	23	6	13	2	3	20	11	6	1		8	31	2	1	6	2		9	6	1	26	6	3	3	23	16	14	5	7	11	5	1	18	3	4	3	4	22		18	1	1	5	2	1	2		39	18	11	8	
5	NC_000005.10	WDR70	55100	CCDS34147.1	Public	+	37379367	37752572	[37379367-37379391, 37379488-37379553, 37381601-37381684, 37391999-37392119, 37396374-37396569, 37437921-37437980, 37443238-37443371, 37479833-37479986, 37516513-37516589, 37605063-37605237, 37697654-37697753, 37701057-37701141, 37702948-37703086, 37721114-37721214, 37722854-37722933, 37724933-37725049, 37726882-37727044, 37752485-37752572]	Identical	CCDS34147.1_CHR5	1965	0	0	1962-	658	5	7	14	8	3	5	7	14	12	21	7	4	8	12	18	8	17	12	8	18	30	5	1	6	8	11	10	6	8		10	2	14	10	5	15	36	13	8	4	15	4	7	15	9	11	13	10	22	7	16	1	23	8		12	13	12	12	4	19	2	7	3	
8	NC_000008.11	MTMR9	66036	CCDS5979.1	Public	+	11284888	11322787	[11284888-11285069, 11295193-11295301, 11300022-11300147, 11304840-11305013, 11306189-11306406, 11309526-11309687, 11314922-11315063, 11316672-11316892, 11319686-11319837, 11322624-11322787]	Identical	CCDS5979.1_CHR8	1650	0	0	1647-	553	7	5	15	6	4	2	10	9	7	14	5	4	14	6	9	18	7	17	10	11	12	8	1	3	19	5	5	6	12		15	3	3	10		7	25	9	9	11	8	2	12	18	9	6	7	7	7	9	23	5	12	3		9	6	7	9	5	24	7	4	8	
10	NC_000010.11	PCDH15	65217	CCDS86093.1	Public	-	53995630	54664261	[53995630-53995764, 54020191-54020415, 54022891-54023196, 54066756-54066884, 54079330-54079423, 54089983-54090062, 54132874-54133006, 54153099-54153292, 54183443-54183592, 54185133-54185267, 54195682-54195888, 54213935-54214047, 54236822-54236930, 54317270-54317440, 54329595-54329705, 54346364-54346483, 54369119-54369274, 54378781-54378941, 54527811-54527876, 54664171-54664261]	Identical	CCDS86093.1_CHR10	2886	0	0	2883-	965	2	5	39	5	16	4	16	32	13	12	23	4	2	5	22	26	26	25	22	17	12	7	1	4	18	12	19	18	11		21	5	19	15	3	5	38	34	9	12	25	1	6	27	22	5	34	13	48	15	15	8	31	11		24	21	8	14	9	16	16	7	7	
17	NC_000017.11	FAM187A	100528020	CCDS86601.1	Public	+	44903829	44905070	[44903829-44905070]	Identical	CCDS86601.1_CHR17	1242	0	0	1239-	417	8	3	1	10	7	10	5	4	4	10	1	8	9	13	3	10	3	6	13	7	4			3	18	1	1	5	2		6		3	13	2	3	6	24	16	12	4		5	9	1	12	6	3	6	8	18	2	14	2	1	3	6	4	1	3	14	15	10	13	
16	NC_000016.10	CEP20	123811	CCDS10567.1	Public	-	15867439	15888584	[15867439-15867515, 15873490-15873626, 15879803-15879887, 15884007-15884204, 15888557-15888584]	Identical	CCDS10567.1_CHR16	525	0	0	522-	178		2	5		4		4	2	1	8	2			2	1	3	3	4	1	2	5	3			1	6	2	2	5	1	2	1	4	2		4	12	1	3	2	5	1		3	5	1	3	4	6	1	5	4	5	7		4	7	5	3	2	3			1	
5	NC_000005.10	PCDHGA7	56108	CCDS75336.1	Public	+	141382899	141385352	[141382899-141385352]	Identical	CCDS75336.1_CHR5	2454	0	0	2451-	821	3	1	15	3	13	8	21	18	10	10	11	12	4	13	12	18	14	6	14	12	13	1	1	10	44	10	6	18	12		16	7	6	21	3	10	27	37	16	20	15	11	21	11	9	18	12	11	22	5	26	6	35	8		12	7	4	8	9	27	16	17	12	
19	NC_000019.10	CD209	30835	CCDS45952.1	Public	-	7743038	7747510	[7743038-7743239, 7744106-7744218, 7744940-7745091, 7745793-7746086, 7746459-7746530, 7747305-7747364, 7747465-7747510]	Identical	CCDS45952.1_CHR19	939	0	0	936-	316	4		3	5	4	2	11	1	4	11	1	2	10	7	5	7	1		7	3	9	2		2	19	4	6	3	2		6		1	6		5	11	8	9	7	4	3	12	2	9	7	5	3	2	2	22	2	7	1	1	1	6	1	5	1	18	6	3	2	
1	NC_000001.11	CD1E	913	CCDS41419.1	Public	+	158353988	158356895	[158353988-158354045, 158354376-158354672, 158355299-158355568, 158355826-158355939, 158356497-158356590, 158356763-158356895]	Identical	CCDS41419.1_CHR1	966	0	0	963-	325	5	1	5	4	5	4	7	2	5	9	5	4	11	7	7	10	5	2	4	8	7	1	1		15	3	10	4	5		5		3	5	1	2	5	7	12	10	5	1	8	7	4	5	5	7	2		14	5	4	5		3	8	6	4	3	9	4	4	3	
10	NC_000010.11	CREM	1390	CCDS7182.1	Public	+	35137835	35211397	[35137835-35137878, 35148367-35148490, 35178888-35178985, 35179133-35179275, 35201450-35201485, 35206894-35207050, 35211253-35211397]	Identical	CCDS7182.1_CHR10	747	0	0	744-	252	3	2	5	1	1	2	3	7	3	7	3	1		1	4	3	9	6	2	8	11	3		1	4	4	4	1	3	1	13		2	4	1	6	20	6		3	4		2		5	4	6	4	5	5	9	1	1	1		5	9	4	5	4	9	2	4	2	
9	NC_000009.12	ERCC6L2	375748	CCDS94443.1	Public	+	95876038	96013202	[95876038-95876083, 95880868-95881292, 95897848-95897970, 95907077-95907270, 95915667-95915828, 95916226-95916433, 95921174-95921314, 95922304-95922417, 95923259-95923378, 95928078-95928149, 95928718-95928863, 95941453-95941548, 95955913-95956012, 95966561-95966713, 95970575-95970655, 95971932-95973087, 95978060-95978214, 96004519-96004700, 96012224-96013202]	Identical	CCDS94443.1_CHR9	4653	0	0	4650-	1554	23	4	48	11	10	6	32	49	10	46	21	3	13	14	32	16	25	33	25	25	110	9		3	16	43	29	17	23	1	24	2	23	16	5	55	79	24	16	13	21	4	14	45	46	11	29	30	65	17	46	11	30	23		25	30	21	37	17	38	12	14	11	
1	NC_000001.11	C1orf159	54991	CCDS81250.1	Public	-	1082892	1091542	[1082892-1082986, 1083914-1084382, 1084480-1084505, 1085877-1086011, 1087138-1087203, 1087501-1087596, 1090352-1090427, 1090875-1090982, 1091471-1091542]	Identical	CCDS81250.1_CHR1	1143	0	0	1140-	384	7	1	1	4	9	9	10	5	9	4		7	8	16	5	6	1	3	5	5	2		1	6	19	5	3	8	1		12	8	2	18		3	4	9	9	17	8	4	11	2	2	21	11	3	3	10	11		6	1			4	2	5	2	7	6	15	5	
2	NC_000002.12	NABP1	64859	CCDS58745.1	Public	+	191681955	191685767	[191681955-191682016, 191683728-191683803, 191684229-191684295, 191685598-191685767]	Identical	CCDS58745.1_CHR2	375	0	0	372-	128	2		10		2		2	6	5	1	2	2	1	4	7		2	1	1	5	4	1	1		1	3	4				2		2	1			7	3	1		2		1	4	3	1	4	3	1	3	5	1	1			3	1	1	5				1	2	
19	NC_000019.10	ZNF160	90338	CCDS82391.1	Public	-	53068076	53075089	[53068076-53070261, 53074139-53074267, 53075056-53075089]	Identical	CCDS82391.1_CHR19	2349	0	0	2346-	786	39	6	33	8	8	1	12	11	5	27	4	4	5	14	26	11	32	13	12	10	55	6	1	1	6	19	17	12	4		3	2	10	9	1	7	26	8	15	3	24	1	3	16	15	2	3	21	7	11	14	10	6	2		3	15	46	18	3	29	24	9	15	
16	NC_000016.10	NDRG4	65009	CCDS58467.1	Public	+	58500248	58511575	[58500248-58500268, 58503797-58503902, 58504153-58504273, 58504358-58504420, 58504588-58504648, 58506386-58506472, 58506557-58506613, 58506911-58507014, 58507807-58507863, 58507947-58507998, 58508961-58509008, 58509153-58509188, 58509300-58509351, 58511421-58511575]	Identical	CCDS58467.1_CHR16	1020	0	0	1017-	343	2		3	5	12	7	15	3		8	1	3	4	12	5	7	5	3	10	11	4		1	4	17	1	2	2	1		3	2	1	13	2	1	2	26	13	10	3	1	8	3	1	12	3	2	5		17	2	11	1		2	5	4	1	1	14	7	10	6	
3	NC_000003.12	SKIL	6498	CCDS46953.1	Public	+	170360331	170392416	[170360331-170361428, 170381243-170381340, 170384532-170384626, 170390222-170390463, 170391035-170391259, 170392258-170392416]	Identical	CCDS46953.1_CHR3	1917	0	0	1914-	642	17		17	4	3		6	13	4	23	10	3	3	8	14	4	17	9	2	19	33	3		3	11	12	19	3	17		12	2	13	7	2	15	42	11	3	10	12	1	6	14	12	6	11	19	15	4	28	3	10	20	1	8	14	14	8	6	15	5	8	5	
16	NC_000016.10	TPSG1	25823	CCDS10430.1	Public	-	1221787	1225251	[1221787-1222095, 1222195-1222340, 1222651-1222916, 1223422-1223593, 1224601-1224627, 1225206-1225251]	Identical	CCDS10430.1_CHR16	966	0	0	963-	325	4	1		10	15	5	4	3	5	1		9	8	17	3	10	5		5	2	1		1	1	22			8	1		5	6	1	14	1	3	1	18	7	13	5	1	10		3	17	4	6	4	5	11	1	9			2	3		1		9	5	8	8	
4	NC_000004.12	LYAR	55646	CCDS3374.1	Public	-	4267888	4283741	[4267888-4268022, 4268529-4268614, 4273582-4273668, 4274366-4274768, 4279446-4279529, 4279641-4279748, 4281782-4281896, 4283620-4283741]	Identical	CCDS3374.1_CHR4	1140	0	0	1137-	383	2		11	6	4	3	10	4	6	38	4	3	5	7	3	6	1	7	4	3	30		1		3	7	4	5			6		6	5	1	5	29	13	2	3	5	1	5	7	4	3	8	2	7	7	15	2	11	7		3	9	5	5	1	13	2	5	6	
6	NC_000006.12	BMP6	654	CCDS4503.1	Public	+	7726955	7880342	[7726955-7727618, 7845139-7845331, 7861450-7861598, 7862300-7862497, 7879073-7879149, 7879990-7880100, 7880193-7880342]	Identical	CCDS4503.1_CHR6	1542	0	0	1539-	517	4	4	7	8	14	7	13	2	1	12		11	10	13	6	6	4	5	7	11	7	4		4	26	3	5	7	6	1	6	15	5	18	6	3	7	16	12	8	5	12	14	6	5	18	4	3	5	6	33	1	19	2		4	6	3	6	3	19	9	13	14	
18	NC_000018.10	FHOD3	80206	CCDS32816.1	Public	+	36297835	36779529	[36297835-36297999, 36355538-36355644, 36372679-36372743, 36501931-36501998, 36512437-36512542, 36576450-36576544, 36594786-36594897, 36602673-36602767, 36611951-36612094, 36625510-36625748, 36658074-36658187, 36681435-36681569, 36687127-36687177, 36693208-36693422, 36709094-36709390, 36717831-36718714, 36730645-36730803, 36740655-36740837, 36742736-36742855, 36744031-36744192, 36746944-36747134, 36755118-36755310, 36760607-36760781, 36769264-36769425, 36779447-36779529]	Identical	CCDS32816.1_CHR18	4320	0	0	4317-	1443	8	2	20	11	21	10	35	13	13	42	9	20	11	26	16	27	17	23	33	20	37	11	1	13	60	28	14	20	29		26	14	12	38	10	19	46	37	26	27	22	12	35	16	6	35	22	21	43	39	53	10	47	13		12	30	10	17	8	83	12	28	21	
3	NC_000003.12	MCCC1	56922	CCDS87170.1	Public	-	183015437	183086733	[183015437-183015565, 183017265-183017336, 183020129-183020236, 183022416-183022553, 183025754-183025803, 183033990-183034076, 183037217-183037433, 183039025-183039134, 183041566-183041749, 183045412-183045539, 183052158-183052239, 183057310-183057421, 183070998-183071119, 183071209-183071356, 183072365-183072486, 183086692-183086733]	Identical	CCDS87170.1_CHR3	1851	0	0	1848-	620	4	1	11	4	3	1	10	6	11	20	7	4	2	9	21	10	16	23	7	21	23	2		1	14	14	11	9	6	1	21	1	9	11	3	14	31	17	11	7	14	5	6	13	7	3	8	7	12	8	17	1	16	7		8	16	12	5	9	21	8	8	9	
